dimension,segment,insurance_metric,denominator,segment_n,segment_successes,segment_rate,rest_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
source,{{site_source_name}},reservation_insurance_row_reservation_users,reservation_users,10,10,1.0,0.9881136950904392,0.011886304909560774,0.346830495985812,0.7287186650730684,False,0.9012097533885275,False,higher,insurance_selection
medium,(unknown),event_selected_all_users,all_users,35307,710,0.02010932676239839,0.028795892487086697,-0.008686565724688306,-7.334441998854146,2.2264716335652896e-13,True,1.1503436773420662e-12,True,lower,insurance_selection
medium,Facebook_Right_Column,event_selected_all_users,all_users,132,0,0.0,0.02430895031552751,-0.02430895031552751,-1.8134406643735121,0.06976388245866358,True,0.22211903417325377,False,lower,insurance_selection
medium,INFLUENCER,event_selected_all_users,all_users,41,12,0.2926829268292683,0.024098702605145197,0.2685842242241231,11.17416629722863,5.456028292311334e-29,False,5.637895902055045e-28,True,higher,insurance_selection
medium,Instagram_Stories,event_selected_all_users,all_users,2,0,0.0,0.024262227216275356,-0.024262227216275356,-0.22300449247818405,0.823532010053442,False,0.9060134813581701,False,lower,insurance_selection
medium,arbstub,event_selected_all_users,all_users,2,0,0.0,0.024262227216275356,-0.024262227216275356,-0.22300449247818405,0.823532010053442,False,0.9060134813581701,False,lower,insurance_selection
medium,blog,event_selected_all_users,all_users,25,9,0.36,0.02413737003239022,0.33586262996760974,10.912538344009045,1.0041275921727355e-27,False,7.7819888393387e-27,True,higher,insurance_selection
medium,company_profile,event_selected_all_users,all_users,36,0,0.0,0.024274429750599093,-0.024274429750599093,-0.9463658278318348,0.34396202855757796,False,0.6664264303303074,False,lower,insurance_selection
medium,cpc,event_selected_all_users,all_users,16655,887,0.05325728009606725,0.014789243473314635,0.03846803662275261,28.01328397901895,1.1194706120868426e-172,True,3.470358897469212e-171,True,higher,insurance_selection
medium,crm,event_selected_all_users,all_users,6,0,0.0,0.024263662171753016,-0.024263662171753016,-0.38626653337847083,0.6992992833033331,False,0.9060134813581701,False,lower,insurance_selection
medium,demandgen,event_selected_all_users,all_users,12379,2,0.00016156393892883107,0.02966032682458966,-0.02949876288566083,-19.280890407312533,7.772698019171512e-83,True,1.2047681929715844e-81,True,lower,insurance_selection
medium,link,event_selected_all_users,all_users,38,2,0.05263157894736842,0.024245562130177516,0.028386016817190902,1.1369689197657076,0.255551278703417,False,0.5281393093203951,False,higher,insurance_selection
medium,marketing,event_selected_all_users,all_users,22,0,0.0,0.02426940369143398,-0.02426940369143398,-0.739731605708327,0.45946286640507644,False,0.8378440505033747,False,lower,insurance_selection
medium,paid,event_selected_all_users,all_users,2699,4,0.0014820303816228233,0.02520827237869385,-0.02372624199707103,-7.849864987498797,4.164853842613723e-15,True,2.5822093824205085e-14,True,lower,insurance_selection
medium,referral,event_selected_all_users,all_users,71,4,0.056338028169014086,0.024227803513549515,0.03211022465546457,1.7575950777003395,0.07881643148083199,True,0.22211903417325377,False,higher,insurance_selection
medium,retargeting,event_selected_all_users,all_users,7,1,0.14285714285714285,0.02424923481835253,0.11860790803879032,2.0394570396526492,0.041404434636388925,False,0.1604421842160071,False,higher,insurance_selection
medium,shuttle,event_selected_all_users,all_users,4,0,0.0,0.024262944672797705,-0.024262944672797705,-0.31538064067813376,0.7524726638894945,False,0.9060134813581701,False,lower,insurance_selection
medium,social,event_selected_all_users,all_users,25,3,0.12,0.024226110363391656,0.09577388963660834,3.111796757844631,0.0018595247234230044,False,0.008235038060873305,True,higher,insurance_selection
medium,{{placement}},event_selected_all_users,all_users,187,7,0.0374331550802139,0.024224992957850883,0.013208162122363018,1.1722935664209049,0.24107921370613072,True,0.5281393093203951,False,higher,insurance_selection
medium,(unknown),reservation_insurance_row_reservation_users,reservation_users,8309,8204,0.987363100252738,0.9927325581395349,-0.00536945788679688,-1.7031737713659738,0.0885355535629828,True,0.22871684670437223,False,lower,insurance_selection
medium,INFLUENCER,reservation_insurance_row_reservation_users,reservation_users,20,19,0.95,0.9882048629073978,-0.038204862907397885,-1.5757216280440676,0.1150899707981914,False,0.27444531498030256,False,lower,insurance_selection
medium,blog,reservation_insurance_row_reservation_users,reservation_users,10,10,1.0,0.9881136950904392,0.011886304909560774,0.346830495985812,0.7287186650730684,False,0.9060134813581701,False,higher,insurance_selection
medium,cpc,reservation_insurance_row_reservation_users,reservation_users,1306,1297,0.9931087289433385,0.9873493256951904,0.005759403248148054,1.78726970575858,0.07389390785466263,True,0.22211903417325377,False,higher,insurance_selection
medium,crm,reservation_insurance_row_reservation_users,reservation_users,2,2,1.0,0.9881235154394299,0.01187648456057011,0.1550432258256536,0.8767872400240355,False,0.9060134813581701,False,higher,insurance_selection
medium,demandgen,reservation_insurance_row_reservation_users,reservation_users,2,2,1.0,0.9881235154394299,0.01187648456057011,0.1550432258256536,0.8767872400240355,False,0.9060134813581701,False,higher,insurance_selection
medium,link,reservation_insurance_row_reservation_users,reservation_users,2,2,1.0,0.9881235154394299,0.01187648456057011,0.1550432258256536,0.8767872400240355,False,0.9060134813581701,False,higher,insurance_selection
medium,marketing,reservation_insurance_row_reservation_users,reservation_users,1,1,1.0,0.988124741842214,0.011875258157786006,0.10962645573533153,0.9127056284666473,False,0.9127056284666473,False,higher,insurance_selection
medium,paid,reservation_insurance_row_reservation_users,reservation_users,6,6,1.0,0.9881186072941419,0.011881392705858085,0.268598228538119,0.7882388756374702,False,0.9060134813581701,False,higher,insurance_selection
medium,referral,reservation_insurance_row_reservation_users,reservation_users,8,8,1.0,0.988116151699907,0.011883848300093036,0.31018256772066644,0.7564221261675375,False,0.9060134813581701,False,higher,insurance_selection
