구분,세그먼트,유저 수,전체 → 식별,식별 → 검색,검색 → 차량클릭,차량클릭 → 예약/가격확인,예약/가격확인 → 결제시도,결제시도 → 결제완료,예약/가격확인 → 결제완료
campaign,23754383997,2998,0.6330887258172114,0.9963119072708114,0.7017451084082496,0.3360964581763376,0.4125560538116592,0.8641304347826086,0.35650224215246634
campaign,23735454208,2677,0.5988046320508031,0.9981285090455396,0.630625,0.32309217046580774,0.4325153374233129,0.8652482269503546,0.37423312883435583
campaign,23205597293,1470,0.6503401360544218,0.99581589958159,0.6680672268907563,0.3160377358490566,0.36318407960199006,0.8082191780821918,0.2935323383084577
campaign,23688781100,2506,0.5965682362330407,0.9979933110367893,0.6427613941018767,0.2721584984358707,0.16091954022988506,0.8095238095238095,0.13026819923371646
medium,demandgen,12379,0.030535584457549076,0.9947089947089947,0.675531914893617,0.007874015748031496,0.0,,0.0
channel,fb / paid,2415,0.009937888198757764,1.0,0.7916666666666666,0.21052631578947367,0.5,0.5,0.25
campaign,seoul_en_2026q2,8684,0.01784891754951635,0.9935483870967742,0.7272727272727273,0.0,,,
campaign,seoul_zh_2026q2,3695,0.06035182679296346,0.9955156950672646,0.6396396396396397,0.014084507042253521,0.0,,0.0
