dimension,segment,dropoff_metric,denominator,segment_n,segment_dropoffs,segment_dropoff_rate,rest_dropoff_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
language,sv,no_insurance_selected_event_among_reservation_users,reservation_users,2,2,1.0,0.8305277290096045,0.16947227099039552,0.6388194109578266,0.5229404191383358,False,0.912705628466647,False,higher,insurance_dropoff
language,th,no_insurance_selected_event_among_reservation_users,reservation_users,1,1,1.0,0.830545229244114,0.169454770755886,0.451690214166401,0.6514921689625884,False,0.912705628466647,False,higher,insurance_dropoff
language,tr,no_insurance_selected_event_among_reservation_users,reservation_users,1,0,0.0,0.8306484923585296,-0.8306484923585296,-2.214135333793132,0.026819470646929168,False,0.08939823548976389,False,lower,insurance_dropoff
language,uk,no_insurance_selected_event_among_reservation_users,reservation_users,2,1,0.5,0.8306310027883921,-0.3306310027883921,-1.2463012456925546,0.21265382072242273,False,0.47256404604982827,False,lower,insurance_dropoff
language,vi,no_insurance_selected_event_among_reservation_users,reservation_users,5,4,0.8,0.8305785123966942,-0.03057851239669418,-0.1822210419426705,0.855409260355586,False,0.912705628466647,False,lower,insurance_dropoff
language,zh,no_insurance_selected_event_among_reservation_users,reservation_users,537,193,0.35940409683426444,0.8582203760384783,-0.4988162792042139,-29.94679367136906,4.843861025463179e-197,True,9.687722050926357e-196,True,lower,insurance_dropoff
language,(unknown),no_insurance_row_among_reservation_users,reservation_users,7014,98,0.013972055888223553,0.00636465743167353,0.007607398456550022,3.0888791155665634,0.002009131706106875,True,0.00861056445474375,True,higher,insurance_dropoff
language,ar,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.912705628466647,False,lower,insurance_dropoff
language,ca,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.912705628466647,False,lower,insurance_dropoff
language,cs,no_insurance_row_among_reservation_users,reservation_users,4,0,0.0,0.01187893812622663,-0.01187893812622663,-0.21928688047101796,0.8264265810749173,False,0.912705628466647,False,lower,insurance_dropoff
language,cy,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.912705628466647,False,lower,insurance_dropoff
language,da,no_insurance_row_among_reservation_users,reservation_users,6,0,0.0,0.011881392705858043,-0.011881392705858043,-0.26859822853811816,0.7882388756374707,False,0.912705628466647,False,lower,insurance_dropoff
language,de,no_insurance_row_among_reservation_users,reservation_users,26,0,0.0,0.011905994409359147,-0.011905994409359147,-0.5597103718322041,0.5756770066506796,False,0.912705628466647,False,lower,insurance_dropoff
language,en,no_insurance_row_among_reservation_users,reservation_users,1922,14,0.007284079084287201,0.013010434110524282,-0.005726355026237081,-2.074983647111498,0.03798805038096756,True,0.11996226436095019,False,lower,insurance_dropoff
language,es,no_insurance_row_among_reservation_users,reservation_users,28,0,0.0,0.011908460184322253,-0.011908460184322253,-0.5808990467244025,0.5613084948749913,False,0.912705628466647,False,lower,insurance_dropoff
language,fr,no_insurance_row_among_reservation_users,reservation_users,28,0,0.0,0.011908460184322253,-0.011908460184322253,-0.5808990467244025,0.5613084948749913,False,0.912705628466647,False,lower,insurance_dropoff
language,hr,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.912705628466647,False,lower,insurance_dropoff
language,id,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.912705628466647,False,lower,insurance_dropoff
language,it,no_insurance_row_among_reservation_users,reservation_users,18,1,0.05555555555555555,0.011792696803558498,0.04376285875199706,1.7125084349567459,0.08680301150377058,False,0.21700752875942644,False,higher,insurance_dropoff
language,ja,no_insurance_row_among_reservation_users,reservation_users,10,0,0.0,0.011886304909560724,-0.011886304909560724,-0.34683049598581067,0.7287186650730694,False,0.912705628466647,False,lower,insurance_dropoff
