utm_campaign_first,canonical_users,reservation_users,paid_users,avg_event_count,reservation_rate,paid_user_rate,paid_after_reservation_rate
(unknown),34956,8309,2515,4.096235267193043,0.2376988213754434,0.07194759125758096,0.3026838368034661
23754383997,2998,446,159,13.848565710473649,0.14876584389593062,0.05303535690460307,0.35650224215246634
23735454208,2677,326,122,11.158759805752709,0.12177810982443034,0.04557340306313037,0.37423312883435583
23205597293,1470,201,59,12.21156462585034,0.13673469387755102,0.04013605442176871,0.2935323383084577
23688781100,2506,261,34,10.132881085395052,0.10415003990422984,0.013567438148443736,0.13026819923371646
23683448292,612,70,28,12.091503267973856,0.11437908496732026,0.0457516339869281,0.4
INFLUENCER,41,20,16,69.4390243902439,0.4878048780487805,0.3902439024390244,0.8
{{campaign.name}},187,12,8,10.903743315508022,0.06417112299465241,0.0427807486631016,0.6666666666666666
BFF_program,71,8,7,9.605633802816902,0.11267605633802817,0.09859154929577464,0.875
shuttle-partnership,29,10,5,42.310344827586206,0.3448275862068966,0.1724137931034483,0.5
abandoned_reservation_v2,7,4,4,22.571428571428573,0.5714285714285714,0.5714285714285714,1.0
referral_share_25,6,2,2,2.3333333333333335,0.3333333333333333,0.3333333333333333,1.0
120244167499720340,155,5,1,2.9806451612903224,0.03225806451612903,0.0064516129032258064,0.2
influencer,38,2,1,6.552631578947368,0.05263157894736842,0.02631578947368421,0.5
family-special-2026-05,22,1,1,4.090909090909091,0.045454545454545456,0.045454545454545456,1.0
23754385140,20,1,1,16.0,0.05,0.05,1.0
seoul_en_2026q2,8684,0,0,1.2711883924458776,0.0,0.0,
23725606539,6218,4,0,1.386297844966227,0.000643293663557414,0.0,0.0
seoul_zh_2026q2,3695,2,0,1.542083897158322,0.0005412719891745603,0.0,0.0
120239187540070340,2389,0,0,1.0661364587693596,0.0,0.0,
