vehicle_id,vehicle_model_id,model_name,erp_record_created_at_utc_observed_not_acquisition,vehicle_registration_date_observed_not_acquisition,erp_soft_deleted_at_utc_observed_not_sale,acquisition_date,acquisition_date_status,purchase_price_krw,purchase_price_status,sale_or_disposal_date,sale_or_disposal_date_status,sale_price_krw,sale_price_status,holding_period_days,holding_period_status,classification
11633,2106,25년 레이(휘),2025-02-25 01:27:06.405947,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11634,2106,25년 레이(휘),2025-02-25 01:27:53.917100,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11635,2106,25년 레이(휘),2025-02-25 01:28:55.112736,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11636,2106,25년 레이(휘),2025-02-25 01:29:52.352793,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11637,2106,25년 레이(휘),2025-02-25 01:30:53.993707,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11638,2141,25년 BMW 미니 컨트리맨 4륜(휘),2025-02-25 07:51:52.985743,2025-02-25,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11639,2141,25년 BMW 미니 컨트리맨 4륜(휘),2025-02-25 07:52:13.858339,2025-02-25,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11640,2141,25년 BMW 미니 컨트리맨 4륜(휘),2025-02-25 07:54:11.449108,2025-02-25,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11641,2141,25년 BMW 미니 컨트리맨 4륜(휘),2025-02-25 07:54:31.086477,2025-02-25,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11648,2141,25년 BMW 미니 컨트리맨 4륜(휘),2025-02-28 07:43:50.229224,2025-02-28,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
