vehicle_id,vehicle_model_id,model_name,vehicle_class,valid_reservation_count_strong_join,first_pickup_at_utc,last_dropoff_at_utc,rows_with_final_price,booked_final_price_krw_sum_proxy,average_booked_final_price_krw_formula,booked_rental_hours_sum,mileage_observation_count,observed_driven_km_sum,true_utilization_rate,true_utilization_status,join_method,join_quality,classification
8658,1915,22년 모닝(휘),URBAN,1,2026-08-18 06:30:00,2026-08-20 07:30:00,1,59700,59700.0,49.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8660,1915,22년 모닝(휘),URBAN,1,2026-08-18 07:00:00,2026-08-20 10:00:00,1,46500,46500.0,51.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8715,1907,22년 캐스퍼(휘),URBAN,1,2026-08-18 23:00:00,2026-08-22 06:00:00,1,70260,70260.0,79.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8719,1907,22년 캐스퍼(휘),URBAN,1,2026-06-06 08:00:00,2026-06-10 02:00:00,1,84480,84480.0,90.0,1,275,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8720,1907,22년 캐스퍼(휘),URBAN,1,2026-08-18 08:00:00,2026-08-21 05:00:00,1,86400,86400.0,69.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8735,1916,22년 K5(휘),MIDSIZE,1,2026-08-18 08:00:00,2026-08-24 08:00:00,1,175500,175500.0,144.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8751,1931,23년 4세대 쏘렌토(5인/경유),SUV,1,2026-08-18 07:00:00,2026-08-21 11:00:00,1,124300,124300.0,76.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8759,1940,23년 디올뉴 그랜저(휘),LUXURY,1,2026-08-18 23:00:00,2026-08-21 11:00:00,1,80640,80640.0,60.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8768,1938,23년 스타리아  9인승 4륜(경유),RV,1,2026-08-18 08:00:00,2026-08-25 08:00:00,1,177995,177995.0,168.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8797,1928,23년 투싼 하이브리드(휘),SUV,1,2026-08-18 10:00:00,2026-08-24 00:00:00,1,216750,216750.0,134.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8824,1923,23년 K8(LPG),LUXURY,1,2026-08-18 23:00:00,2026-08-21 03:00:00,1,95285,95285.0,52.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
