vehicle_model_id,model_name,vehicle_class,all_reservation_count,valid_reservation_count,canceled_reservation_count,pending_reservation_count,first_pickup_at_utc,last_observed_dropoff_at_utc,valid_rows_with_final_price,valid_booked_final_price_krw_sum_proxy,average_booked_final_price_krw_formula,valid_booked_rental_hours_sum,valid_joined_vehicle_count_reserved_or_assigned,customer_insurance_fee_krw_sum_not_cost,true_utilization_rate,true_utilization_status,join_method,classification
2006,23년 팰리세이드 8인승 4WD(휘),CITY,885,585,247,53,2023-04-27 00:00:00,2024-10-30 07:30:00,585,97333243,166381.61196581196,36538.17,6,1163600,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1956,24년 BMW 420i 컨버터블(휘),IMPORTED,1467,1153,253,61,2024-03-28 00:00:00,2026-08-21 04:00:00,1139,254643833,223567.89552238805,58593.12,5,773200,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1934,24년 BMW 미니 컨버터블(휘),IMPORTED,1613,1188,354,71,2023-05-30 00:00:00,2026-08-22 11:00:00,1180,191218077,162049.21779661017,64069.3,8,356400,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1972,24년 G80 4륜(휘),LUXURY,729,577,134,18,2024-08-22 00:00:00,2026-08-21 10:00:00,571,99091860,173540.91068301225,31624.9,3,29200,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2017,24년 GV80 7인승 4륜(휘),CITY,49,25,17,7,2024-06-10 00:00:00,2024-11-03 07:00:00,25,9407670,376306.8,1699.5,2,23600,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2014,24년 GV80 쿠페 3.5 4륜(휘),CITY,144,100,36,8,2024-02-27 00:00:00,2024-11-03 09:00:00,100,26815278,268152.78,5171.08,2,52000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2019,24년 더 뉴 K3 프레스티지(휘),CITY,9,0,9,0,2024-07-16 00:00:00,2024-08-05 11:00:00,0,0,,0.0,0,0,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1970,24년 더 뉴 K3(휘),COMPACT,2580,2060,448,72,2024-07-03 00:00:00,2026-12-31 09:00:00,2047,194813920,95170.4543234001,121012.33,17,586800,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1946,24년 더 뉴 K5 하이브리드(휘),MIDSIZE,3125,2425,592,108,2023-12-19 00:00:00,2026-08-22 03:00:00,2416,275422323,113999.30587748345,148778.57,15,729000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1952,24년 더 뉴 K5(휘),MIDSIZE,2320,1843,391,86,2024-02-02 00:00:00,2026-08-22 00:30:00,1835,194828592,106173.61961852861,109338.22,8,504800,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
