model_family,vehicle_class,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,avg_age_years,utilization_rate,revenue_per_fleet_day,reservation_count,unique_joined_users,avg_reservation_price_krw,family_year_rank_by_revenue_per_fleet_day
카니발,RV,2024.0,15876,2788.9493055555554,235700710.29411766,1.805612594113621,0.17567078014333304,14846.353634046212,1044.0,832.0,226028.71168582374,3.0
카니발,RV,2025.0,11883,3202.567361111111,291098138.6356229,0.8546372347707051,0.2695083195414551,24497.024205640235,1269.0,1027.0,229775.695035461,2.0
카니발,RV,2026.0,1848,557.2368055555555,56379290.0,0.2933767122678827,0.3015350679413179,30508.27380952381,221.0,176.0,255109.90950226245,1.0
캐스퍼,URBAN,2022.0,5880,1346.6729166666667,42812525.0,3.8042436687200545,0.22902600623582767,7281.041666666667,582.0,448.0,73561.03951890035,1.0
코나,SUV,2018.0,1274,0.0,0.0,7.13347022587269,0.0,0.0,,,,3.0
코나,EV,2020.0,20580,1960.0069444444443,70310414.32924737,5.805612594113621,0.09523843267465716,3416.44384495857,754.0,594.0,93628.44429708223,2.0
코나,SUV,2024.0,2940,859.68125,36786353.41772152,1.8056125941136205,0.29240858843537415,12512.365108068543,374.0,286.0,98428.64973262032,1.0
테슬라 모델3,IMPORTED,2020.0,2940,388.99652777777777,26180921.0,5.805612594113621,0.13231174414210128,8905.075170068027,190.0,158.0,137794.32105263157,1.0
테슬라 모델Y RWD,IMPORTED,2026.0,708,138.4,15506008.0,0.4394250513347022,0.19548022598870057,21901.141242937854,64.0,57.0,242281.375,1.0
투싼,SUV,2021.0,4116,288.2916666666667,11697280.0,4.803559206023271,0.0700417071590541,2841.904761904762,105.0,77.0,111402.66666666667,5.0
투싼,SUV,2023.0,4116,594.7763888888888,27625003.125,2.8049281314168377,0.14450349584278155,6711.613975947522,222.0,189.0,124544.38288288288,4.0
투싼,SUV,2024.0,2940,636.6631944444445,33395820.0,1.8056125941136205,0.21655210695389268,11359.122448979591,249.0,208.0,134119.7590361446,3.0
투싼,SUV,2025.0,8753,3255.0402777777776,190331222.09470692,0.8448436322810335,0.3718771024537619,21744.68434761875,1384.0,1078.0,137748.69869942198,2.0
투싼,SUV,2026.0,928,373.7423611111111,23616855.833333332,0.2921121574736246,0.40273961326628355,25449.198096264365,164.0,123.0,144208.99390243902,1.0
팰리세이드,SUV,2023.0,5746,552.6909722222222,36914050.0,2.6050650239561945,0.09618708183470626,6424.3038635572575,203.0,162.0,181842.61083743843,3.0
팰리세이드,SUV,2025.0,3881,1130.2145833333334,98381405.42964739,1.0597866334338557,0.291217362363652,25349.498951210353,466.0,369.0,211768.02575107297,1.0
팰리세이드,SUV,2026.0,2752,773.2701388888889,53166278.22220385,0.3189596167008898,0.2809847888404393,19319.14179585896,319.0,249.0,167839.7931034483,2.0
포르쉐,SUPERCAR,2022.0,686,90.21527777777777,35433936.0,3.8042436687200545,0.13150915127955942,51652.967930029154,56.0,47.0,632748.8571428572,1.0
포르쉐,SUPERCAR,2025.0,457,56.78472222222222,22495395.0,0.9828884325804244,0.12425540967663506,49224.0590809628,26.0,16.0,865207.5,2.0
폭스바겐 제타,IMPORTED,2022.0,294,0.0,0.0,3.1334702258726903,0.0,0.0,,,,1.0
