model_name,vehicle_class,model_family,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,avg_vehicle_age_years,last_observed_age_years,utilization_rate,revenue_per_fleet_day,old_fleet_vehicle_days,old_booked_vehicle_days,old_revenue_krw,old_utilization_rate,old_revenue_per_fleet_day,reservation_count,unique_joined_users,active_months,avg_reservation_price_krw,avg_rental_hours,old_reservation_count,old_unique_joined_users,old_active_months,old_avg_reservation_price_krw,old_repeat_user_share,old_high_value_user_share,old_revenue_share,class_old_revenue_per_fleet_day_median,old_revenue_vs_class_median,long_hold_score,holding_period_signal,recommended_holding_period_proxy
23년 K8(LPG),LUXURY,K8,2023.0,1764,295.0729166666667,15979395.0,2.8049281314168377,3.6084873374401094,0.16727489606953894,9058.61394557823,0.0,0.0,0.0,,,122.0,92.0,19.0,130978.64754098361,58.04713114754098,0.0,0.0,0.0,,,,0.0,1806.7274837364996,,0.0,추가 관찰,6년 도달 전 추가 관찰
23년 디올뉴 그랜저(휘),LUXURY,디올뉴 그랜저,2023.0,2940,494.8611111111111,29404315.0,2.8049281314168377,3.6084873374401094,0.16832010582010581,10001.46768707483,0.0,0.0,0.0,,,197.0,154.0,19.0,149260.48223350252,60.28766497461929,0.0,0.0,0.0,,,,0.0,1806.7274837364996,,0.0,추가 관찰,6년 도달 전 추가 관찰
23년 머스탱컨버터블(휘),IMPORTED,머스탱,2023.0,2352,322.7347222222222,31914151.788990825,2.8049281314168377,3.6084873374401094,0.13721714380196523,13568.942087155963,0.0,0.0,0.0,,,144.0,127.0,20.0,222618.78472222222,53.99395833333333,0.0,0.0,0.0,,,,0.0,2971.95067264574,,0.0,추가 관찰,6년 도달 전 추가 관찰
23년 스타리아  9인승 4륜(경유),RV,스타리아,2023.0,5880,516.9631944444444,41947012.0,2.8049281314168377,3.6084873374401094,0.08791891061980348,7133.845578231292,0.0,0.0,0.0,,,191.0,154.0,20.0,219617.86387434555,64.95879581151831,0.0,0.0,0.0,,,,0.0,3064.497444633731,,0.0,추가 관찰,6년 도달 전 추가 관찰
23년 쏠라티(15인/경유),RV,쏠라티,2023.0,2352,81.98125,18550725.0,2.8049281314168377,3.6084873374401094,0.034855973639455785,7887.213010204082,0.0,0.0,0.0,,,35.0,31.0,13.0,530020.7142857143,56.215714285714284,0.0,0.0,0.0,,,,0.0,3064.497444633731,,0.0,추가 관찰,6년 도달 전 추가 관찰
23년 지프 랭글러 파워탑(휘),IMPORTED,랭글러,2023.0,2352,407.95694444444445,39893750.0,2.8049281314168377,3.6084873374401094,0.17345108182161753,16961.628401360544,0.0,0.0,0.0,,,190.0,150.0,20.0,209967.1052631579,51.53152631578947,0.0,0.0,0.0,,,,0.0,2971.95067264574,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 포르쉐 718박스터 컨버터블(휘),SUPERCAR,포르쉐,2022.0,686,90.21527777777777,35433936.0,3.8042436687200545,4.607802874743326,0.13150915127955942,51652.967930029154,0.0,0.0,0.0,,,56.0,47.0,18.0,632748.8571428572,38.66375,0.0,0.0,0.0,,,,0.0,,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 쏘렌토 하이브리드(7인/휘),SUV,쏘렌토,2022.0,1764,198.60763888888889,10522576.0875,3.8042436687200545,4.607802874743326,0.11258936444948349,5965.1791879251705,0.0,0.0,0.0,,,71.0,61.0,18.0,151993.84507042254,68.62802816901409,0.0,0.0,0.0,,,,0.0,0.0,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 BMW 미니 컨버터블(휘),IMPORTED,미니,2022.0,2352,316.4916666666667,20256209.0,3.8042436687200545,4.607802874743326,0.13456278344671202,8612.3337585034,0.0,0.0,0.0,,,148.0,132.0,20.0,136866.27702702704,51.32317567567568,0.0,0.0,0.0,,,,0.0,2971.95067264574,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 니로 하이브리드(휘),SUV,니로 하이브리드,2022.0,4704,518.3986111111111,24201353.778625954,3.8042436687200545,4.607802874743326,0.11020378637566138,5144.845616204497,0.0,0.0,0.0,,,194.0,149.0,20.0,124845.3350515464,64.17572164948454,0.0,0.0,0.0,,,,0.0,0.0,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 BMW 미니 컨버터블S(휘),IMPORTED,미니,2022.0,1176,80.06736111111111,5628685.0,3.8042436687200545,4.607802874743326,0.06808449074074074,4786.296768707483,0.0,0.0,0.0,,,35.0,24.0,16.0,160819.57142857142,54.90342857142857,0.0,0.0,0.0,,,,0.0,2971.95067264574,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 EV6(전기),EV,EV6,2022.0,12348,2469.8152777777777,118548970.54016265,3.8042436687200545,4.607802874743326,0.2000174342223662,9600.661689355577,0.0,0.0,0.0,,,939.0,732.0,20.0,126473.48668796592,63.20725239616613,0.0,0.0,0.0,,,,0.0,3485.0036768015234,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 K5(LPG),MIDSIZE,K5,2022.0,3536,82.13055555555556,3774090.0,3.6043805612594113,4.20807665982204,0.023226967068878834,1067.33314479638,0.0,0.0,0.0,,,37.0,30.0,4.0,102002.43243243243,53.273783783783784,0.0,0.0,0.0,,,,0.0,1034.9617232543242,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 K5(휘),MIDSIZE,K5,2022.0,5292,881.9701388888889,28537625.0,3.8042436687200545,4.607802874743326,0.16666102397749222,5392.597316704459,0.0,0.0,0.0,,,342.0,246.0,20.0,83443.34795321638,61.89266081871345,0.0,0.0,0.0,,,,0.0,1034.9617232543242,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 XM3(휘),SUV,XM3,2022.0,1176,113.09375,5009330.0,3.8042436687200545,4.607802874743326,0.09616815476190477,4259.634353741497,0.0,0.0,0.0,,,44.0,39.0,15.0,113848.40909090909,61.68772727272728,0.0,0.0,0.0,,,,0.0,0.0,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 k3(휘),COMPACT,K3,2022.0,13084,2042.6055555555556,63289325.833333336,3.8042436687200545,4.607802874743326,0.15611476272971228,4837.154221440946,0.0,0.0,0.0,,,811.0,607.0,20.0,78040.71516646116,60.447743526510486,0.0,0.0,0.0,,,,0.0,407.6530612244898,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 모닝(휘),URBAN,모닝,2022.0,9494,1128.6215277777778,29015828.71631206,3.8042436687200545,4.607802874743326,0.11887734651124687,3056.2280088805624,0.0,0.0,0.0,,,478.0,350.0,20.0,60726.219665271965,56.68085774058578,0.0,0.0,0.0,,,,0.0,97.1103896103896,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 스포티지(휘),SUV,스포티지,2022.0,2210,128.42638888888888,8531795.0,3.6043805612594113,4.20807665982204,0.058111488185017594,3860.5407239819006,0.0,0.0,0.0,,,46.0,34.0,8.0,185473.80434782608,67.005,0.0,0.0,0.0,,,,0.0,0.0,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 베뉴(휘),SUV,베뉴,2022.0,1176,185.77083333333334,6897383.450704225,3.8042436687200545,4.607802874743326,0.15796839569160998,5865.121981891348,0.0,0.0,0.0,,,83.0,66.0,20.0,84170.78313253012,54.138674698795185,0.0,0.0,0.0,,,,0.0,0.0,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 볼보 XC40(휘),IMPORTED,볼보 XC40,2022.0,1176,131.35069444444446,11492615.0,3.8042436687200545,4.607802874743326,0.11169276738473168,9772.63180272109,0.0,0.0,0.0,,,57.0,42.0,18.0,201624.8245614035,55.30543859649123,0.0,0.0,0.0,,,,0.0,2971.95067264574,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 스타리아 11인승(경유),RV,스타리아,2022.0,2175,67.48819444444445,5841395.0,3.594798083504449,4.188911704312115,0.031029054916985953,2685.6988505747127,0.0,0.0,0.0,,,26.0,25.0,8.0,224669.03846153847,62.29692307692308,0.0,0.0,0.0,,,,0.0,3064.497444633731,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 스타리아 9인승(경유),RV,스타리아,2022.0,4855,197.5222222222222,16394375.0,3.6043805612594113,4.20807665982204,0.040684288820231146,3376.8022657054585,0.0,0.0,0.0,,,70.0,59.0,9.0,234205.35714285713,67.722,0.0,0.0,0.0,,,,0.0,3064.497444633731,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 스포티지 하이브리드(휘),SUV,스포티지,2022.0,1764,192.9986111111111,9380010.0,3.8042436687200545,4.607802874743326,0.10940964348702444,5317.465986394558,0.0,0.0,0.0,,,78.0,61.0,19.0,120256.53846153847,59.384230769230776,0.0,0.0,0.0,,,,0.0,0.0,,0.0,추가 관찰,6년 도달 전 추가 관찰
22년 스포티지(경유),SUV,스포티지,2022.0,4420,304.27986111111113,18045910.0,3.6043805612594113,4.20807665982204,0.06884159753645049,4082.785067873303,0.0,0.0,0.0,,,109.0,93.0,10.0,165558.80733944953,66.99733944954129,0.0,0.0,0.0,,,,0.0,0.0,,0.0,추가 관찰,6년 도달 전 추가 관찰
26년 팰리세이드4륜(휘),SUV,팰리세이드,2026.0,2752,773.2701388888889,53166278.22220385,0.3189596167008898,0.6078028747433265,0.2809847888404393,19319.14179585896,0.0,0.0,0.0,,,319.0,249.0,8.0,167839.7931034483,58.54235109717868,0.0,0.0,0.0,,,,0.0,0.0,,0.0,추가 관찰,6년 도달 전 추가 관찰
