model_name,vehicle_class,model_family,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,avg_vehicle_age_years,last_observed_age_years,utilization_rate,revenue_per_fleet_day,old_fleet_vehicle_days,old_booked_vehicle_days,old_revenue_krw,old_utilization_rate,old_revenue_per_fleet_day,reservation_count,unique_joined_users,active_months,avg_reservation_price_krw,avg_rental_hours,old_reservation_count,old_unique_joined_users,old_active_months,old_avg_reservation_price_krw,old_repeat_user_share,old_high_value_user_share,old_revenue_share,class_old_revenue_per_fleet_day_median,old_revenue_vs_class_median,long_hold_score,holding_period_signal,recommended_holding_period_proxy,decline_risk_score
20년 K5(LPG),MIDSIZE,K5,2020.0,4704,442.0284722222222,14954926.029320853,5.805612594113621,6.609171800136893,0.0939686378023431,3179.1934586141265,1784.0,213.94444444444449,6520221.029320851,0.1199240159441953,3654.8324155385935,177.0,124.0,19.0,86310.22598870056,60.62531073446328,87.0,62.0,8.0,78646.03448275862,0.264367816091954,0.1379310344827586,0.4359915265737328,1034.9617232543242,3.53136964722364,81.71442589366255,길게 보유 검토,6년+ 장기 보유 검증,0.01583001162597797
20년 테슬라 모델3(전기),IMPORTED,테슬라 모델3,2020.0,2940,388.99652777777777,26180921.0,5.805612594113621,6.609171800136893,0.1323117441421012,8905.075170068027,1115.0,141.69444444444446,8346207.229508197,0.1270802192326856,7485.387649783136,190.0,158.0,20.0,137794.32105263157,49.13647368421053,67.0,56.0,8.0,120988.5223880597,0.2388059701492537,0.1194029850746268,0.318789672430095,2971.95067264574,2.5186782939164223,71.60400771539638,길게 보유 검토,6년+ 장기 보유 검증,0.0
19년 올뉴K3(휘),COMPACT,K3,2019.0,5734,180.91805555555555,6184100.0,6.804928131416838,7.60848733744011,0.0315518059915513,1078.4966864318103,5734.0,180.91805555555555,6184100.0,0.0315518059915513,1078.4966864318103,71.0,54.0,8.0,87100.0,61.155352112676056,71.0,54.0,8.0,87100.0,0.2957746478873239,0.0985915492957746,1.0,407.6530612244898,2.6456239116474944,70.94652330115994,길게 보유 검토,6년+ 장기 보유 검증,18.42670708509348
20년 쏘나타DN8(LPG),MIDSIZE,쏘나타,2020.0,8232,1553.8326388888888,54336310.0,5.805612594113621,6.609171800136893,0.1887551796512255,6600.6207482993195,3122.0,185.04097222222225,5489560.0,0.0592700103210192,1758.3472133247917,684.0,536.0,20.0,79439.04970760235,54.52048245614036,68.0,58.0,8.0,80728.82352941176,0.2941176470588235,0.1470588235294117,0.1010293117070334,1034.9617232543242,1.6989490275986834,52.35960107116669,길게 보유 검토,6년+ 장기 보유 검증,12.652081183121
19년 더뉴카니발리무진7인(경유),RV,카니발,2019.0,2940,147.83333333333334,10259510.0,6.804928131416838,7.60848733744011,0.0502834467120181,3489.6292517006805,2940.0,147.83333333333334,10259510.0,0.0502834467120181,3489.6292517006805,55.0,52.0,16.0,186536.54545454544,64.50927272727273,55.0,52.0,16.0,186536.54545454544,0.2181818181818181,0.2727272727272727,1.0,3064.497444633731,1.1387280670804285,44.06291382746802,길게 보유 검토,6년+ 장기 보유 검증,14.52428193499623
20년 코나(전기),EV,코나,2020.0,20580,1960.0069444444443,70310414.32924737,5.805612594113621,6.609171800136893,0.0952384326746571,3416.44384495857,7805.0,723.0472222222222,27200453.69743589,0.0926389778631931,3485.0036768015234,754.0,594.0,20.0,93628.44429708224,62.58912466843501,272.0,227.0,8.0,100638.35294117648,0.2205882352941176,0.1360294117647058,0.3868623724795941,3485.0036768015234,1.0,40.52451294419113,길게 보유 검토,6년+ 장기 보유 검증,5.700212945168104
