age_bucket,fleet_vehicle_days,booked_vehicle_days,revenue_krw,utilization_rate,revenue_per_fleet_day
0-1년,170809,46653.06527777778,3058235144.0106535,0.27313001819446153,17904.4145449634
2-3년,161436,23206.99027777778,1351677163.7074838,0.14375350155961358,8372.836069448473
4-5년,130281,14035.899305555555,666752067.4384893,0.10773558159329108,5117.799736250791
6-7년,52152,2331.2527777777777,110766288.36567317,0.04470111937754598,2123.912570288257
8년+,1784,45.72569444444444,2191340.0,0.025630994643746886,1228.3295964125562
