model_family,vehicle_class,model_count,fleet_vehicle_days,booked_vehicle_days,revenue_krw,old_fleet_vehicle_days,old_booked_vehicle_days,old_revenue_krw,reservation_count,old_reservation_count,old_active_months,avg_long_hold_score,max_long_hold_score,utilization_rate,revenue_per_fleet_day,old_utilization_rate,old_revenue_per_fleet_day,class_family_old_revenue_median,old_revenue_vs_class_family_median,long_hold_family_score,decline_family_score,family_holding_signal
더 K8,LUXURY,1,788,207.27430555555551,14982629.27152318,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.2630384588268471,19013.488923252768,,,0.0,,0.0,100.0,추가 관찰 차종
더 뉴 K7,LUXURY,1,392,11.854166666666666,741235.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.03024022108843537,1890.905612244898,,,0.0,,0.0,100.0,추가 관찰 차종
더 뉴 셀토스,SUV,1,6468,1746.0638888888889,75392605.0,0.0,0.0,0.0,714.0,0.0,0.0,0.0,0.0,0.2699542190613619,11656.24690785405,,,0.0,,0.0,100.0,추가 관찰 차종
더뉴그랜저 하이브리드,LUXURY,1,2940,661.7805555555556,49165490.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,0.22509542705971278,16722.955782312925,,,0.0,,0.0,100.0,추가 관찰 차종
디올뉴 그랜저,LUXURY,1,2940,494.8611111111111,29404315.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.16832010582010581,10001.46768707483,,,0.0,,0.0,100.0,추가 관찰 차종
랭글러,IMPORTED,1,2352,407.9569444444445,39893750.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.17345108182161756,16961.628401360544,,,4470.455311973019,,0.0,100.0,추가 관찰 차종
레이,SUV,1,4704,561.7388888888889,22898115.242494226,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.11941728080120938,4867.796607673092,,,0.0,,0.0,100.0,추가 관찰 차종
머스탱,IMPORTED,4,9708,1857.7041666666664,196300797.45972252,231.0,0.0,0.0,877.0,0.0,0.0,0.0,0.0,0.19135807238016753,20220.51889778765,0.0,0.0,4470.455311973019,0.0,0.0,100.0,길면 수익률 하락 차종
BMW 520i M스포츠,IMPORTED,1,720,90.49513888888887,10490245.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.12568769290123455,14569.784722222223,,,4470.455311973019,,0.0,100.0,추가 관찰 차종
폭스바겐 제타,IMPORTED,1,294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4470.455311973019,,0.0,100.0,추가 관찰 차종
