date,model_name,vehicle_class,model_year_latest,model_family,fleet_count,vehicle_age_years,age_bucket,booked_hours,revenue_krw,fleet_vehicle_days,booked_vehicle_days,utilization_rate,revenue_per_fleet_day
2025-01-01,20년 쏘나타DN8(휘),MIDSIZE,2020.0,쏘나타,7,5.002053388090349,4-5년,0.0,0.0,7,0.0,0.0,0.0
2025-01-01,20년 올뉴k3(휘),COMPACT,2020.0,K3,10,5.002053388090349,4-5년,0.0,0.0,10,0.0,0.0,0.0
2025-01-01,20년 올뉴아반떼CN7(휘),COMPACT,2020.0,아반떼,5,5.002053388090349,4-5년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,20년 코나(전기),EV,2020.0,코나,35,5.002053388090349,4-5년,0.0,0.0,35,0.0,0.0,0.0
2025-01-01,20년 테슬라 모델3(전기),IMPORTED,2020.0,테슬라 모델3,5,5.002053388090349,4-5년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,21/22년 BMW 420i 컨버터블(휘),IMPORTED,2022.0,BMW 420i,4,3.0006844626967832,2-3년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,21/22년 트레일블레이저(휘),SUV,2022.0,레이,8,3.0006844626967832,2-3년,0.0,0.0,8,0.0,0.0,0.0
2025-01-01,21년 4세대 더올뉴투싼(휘),SUV,2021.0,투싼,7,4.0,4-5년,0.0,0.0,7,0.0,0.0,0.0
2025-01-01,21년 4세대 쏘렌토(7인/휘),SUV,2021.0,쏘렌토,3,4.0,4-5년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,21년 4세대 카니발 리무진 7인승(경유),RV,2021.0,카니발,5,4.0,4-5년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,21년 4세대카니발 9인승(경유),RV,2021.0,카니발,10,4.0,4-5년,0.0,0.0,10,0.0,0.0,0.0
2025-01-01,21년 G80(휘),LUXURY,2021.0,G80,3,4.0,4-5년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,21년 GV70(5인/휘),SUV,2021.0,GV70,4,4.0,4-5년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,21년 GV80(5인/휘),SUV,2021.0,GV80,3,4.0,4-5년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,21년 K3(휘),COMPACT,2021.0,K3,10,4.0,4-5년,0.0,0.0,10,0.0,0.0,0.0
2025-01-01,21년 K5(휘),MIDSIZE,2021.0,K5,10,4.0,4-5년,0.0,0.0,10,0.0,0.0,0.0
2025-01-01,21년 K8(LPG),LUXURY,2021.0,K8,3,4.0,4-5년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,21년 K8(휘),LUXURY,2021.0,K8,3,4.0,4-5년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,21년 QM6(휘),SUV,2021.0,QM6,3,4.0,4-5년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,21년 더 뉴 K7(휘),LUXURY,2021.0,더 뉴 K7,4,4.0,4-5년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,21년 머스탱 컨버터블(휘),IMPORTED,2021.0,머스탱,3,4.0,4-5년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,21년 벤츠 C클래스 카브리올레(휘),IMPORTED,2021.0,벤츠,2,4.0,4-5년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,21년 벤츠G63 AMG 지바겐(휘),SUPERCAR,2021.0,벤츠,1,4.0,4-5년,0.0,0.0,1,0.0,0.0,0.0
2025-01-01,21년 쏘나타DN8(휘),MIDSIZE,2021.0,쏘나타,10,4.0,4-5년,0.0,0.0,10,0.0,0.0,0.0
2025-01-01,21년 아우디A5 카브리올레(휘),IMPORTED,2021.0,아우디A5 카브리올레,1,4.0,4-5년,0.0,0.0,1,0.0,0.0,0.0
2025-01-01,21년 아이오닉5(전기),EV,2021.0,아이오닉,10,4.0,4-5년,0.0,0.0,10,0.0,0.0,0.0
2025-01-01,21년 올뉴아반떼CN7(휘),COMPACT,2021.0,아반떼,15,4.0,4-5년,0.0,0.0,15,0.0,0.0,0.0
2025-01-01,22년 BMW 미니 컨버터블(휘),IMPORTED,2022.0,미니,4,3.0006844626967832,2-3년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,22년 BMW 미니 컨버터블S(휘),IMPORTED,2022.0,미니,2,3.0006844626967832,2-3년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,22년 EV6(전기),EV,2022.0,EV6,21,3.0006844626967832,2-3년,0.0,0.0,21,0.0,0.0,0.0
2025-01-01,22년 K5(LPG),MIDSIZE,2022.0,K5,8,3.0006844626967832,2-3년,0.0,0.0,8,0.0,0.0,0.0
2025-01-01,22년 K5(휘),MIDSIZE,2022.0,K5,9,3.0006844626967832,2-3년,0.0,0.0,9,0.0,0.0,0.0
2025-01-01,22년 XM3(휘),SUV,2022.0,XM3,2,3.0006844626967832,2-3년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,22년 k3(휘),COMPACT,2022.0,K3,25,3.0006844626967832,2-3년,0.0,0.0,25,0.0,0.0,0.0
2025-01-01,22년 니로 하이브리드(휘),SUV,2022.0,니로 하이브리드,8,3.0006844626967832,2-3년,0.0,0.0,8,0.0,0.0,0.0
2025-01-01,22년 모닝(휘),URBAN,2022.0,모닝,21,3.0006844626967832,2-3년,0.0,0.0,21,0.0,0.0,0.0
2025-01-01,22년 베뉴(휘),SUV,2022.0,베뉴,2,3.0006844626967832,2-3년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,22년 볼보 XC40(휘),IMPORTED,2022.0,볼보 XC40,2,3.0006844626967832,2-3년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,22년 스타리아 11인승(경유),RV,2022.0,스타리아,5,3.0006844626967832,2-3년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,22년 스타리아 9인승(경유),RV,2022.0,스타리아,11,3.0006844626967832,2-3년,0.0,0.0,11,0.0,0.0,0.0
2025-01-01,22년 스포티지 하이브리드(휘),SUV,2022.0,스포티지,3,3.0006844626967832,2-3년,0.0,0.0,3,0.0,0.0,0.0
