vehicle_class,joined_reservations,unique_users,repeat_user_share,high_value_user_share,avg_reservation_price_krw,avg_rental_hours
EV,242,227,0.24793388429752067,0.15289256198347106,104159.63636363637,66.83611570247933
RV,161,155,0.32919254658385094,0.40372670807453415,225286.42857142858,64.98211180124224
MIDSIZE,142,134,0.34507042253521125,0.176056338028169,85369.54225352113,64.32795774647887
COMPACT,101,93,0.40594059405940597,0.16831683168316833,81899.75247524753,65.18257425742574
IMPORTED,86,85,0.26744186046511625,0.13953488372093023,139782.4534883721,50.013604651162794
LUXURY,33,33,0.42424242424242425,0.3333333333333333,145039.24242424243,62.548181818181824
SUV,18,18,0.4444444444444444,0.2777777777777778,86502.77777777778,52.370555555555555
URBAN,4,4,0.0,0.0,28667.5,39.645
