month,model_family,vehicle_class,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,reservation_count,unique_joined_users,avg_reservation_price_krw,utilization_rate,revenue_per_fleet_day,family_month_revenue_krw,family_revenue_share
2025-01,BMW 420i,IMPORTED,2022.0,124,9.48263888888889,743041.2798301694,4.0,4.0,194093.75,0.0764728942652329,5992.268385727172,1810795.2659653511,0.4103397517079587
2025-01,BMW 420i,IMPORTED,2024.0,155,16.430555555555557,1067753.986135182,7.0,2.0,154235.7142857143,0.1060035842293906,6888.735394420529,1810795.2659653511,0.5896602482920412
2025-01,BMW Z4 로드스터,IMPORTED,2021.0,62,5.145833333333333,539100.0,2.0,0.0,269550.0,0.0829973118279569,8695.161290322581,539100.0,1.0
2025-01,EV3,EV,2025.0,93,6.75,281090.0,4.0,2.0,70272.5,0.0725806451612903,3022.47311827957,281090.0,1.0
2025-01,EV6,EV,2022.0,651,29.444444444444443,1179818.289749405,14.0,5.0,97128.57142857143,0.0452295613585936,1812.3168813354916,1179818.289749405,1.0
2025-01,G80,LUXURY,2019.0,62,0.0,0.0,0.0,0.0,,0.0,0.0,2787530.3508771933,0.0
2025-01,G80,LUXURY,2021.0,93,0.0,0.0,0.0,0.0,,0.0,0.0,2787530.3508771933,0.0
2025-01,G80,LUXURY,2024.0,93,10.145833333333334,685540.0,5.0,2.0,140628.0,0.109094982078853,7371.397849462365,2787530.3508771933,0.2459309545398388
2025-01,G80,LUXURY,2025.0,124,23.006944444444443,2101990.3508771933,12.0,2.0,177554.16666666666,0.1855398745519713,16951.5350877193,2787530.3508771933,0.7540690454601612
2025-01,GV70,SUV,2021.0,124,4.979166666666666,362815.5555555555,2.0,2.0,192470.0,0.0401545698924731,2925.9318996415773,1355375.5555555555,0.2676863649107505
2025-01,GV70,SUV,2023.0,155,13.147916666666667,992560.0,5.0,2.0,198512.0,0.0848252688172043,6403.612903225807,1355375.5555555555,0.7323136350892496
2025-01,GV80,SUV,2021.0,93,10.631944444444445,797424.0532590025,7.0,1.0,131930.0,0.1143219832735961,8574.452185580672,2547545.118913902,0.313016655657494
2025-01,GV80,SUV,2023.0,124,2.756944444444444,268090.0,1.0,1.0,268090.0,0.022233422939068,2162.016129032258,2547545.118913902,0.1052346425622071
2025-01,GV80,SUV,2025.0,116,13.434722222222222,1482031.0656548992,8.0,5.0,223956.25,0.115816570881226,12776.12987633534,2547545.118913902,0.5817487017802987
2025-01,K3,COMPACT,2018.0,62,0.0,0.0,0.0,0.0,,0.0,0.0,2345823.862228706,0.0
2025-01,K3,COMPACT,2019.0,372,0.0,0.0,0.0,0.0,,0.0,0.0,2345823.862228706,0.0
2025-01,K3,COMPACT,2020.0,310,0.0,0.0,0.0,0.0,,0.0,0.0,2345823.862228706,0.0
2025-01,K3,COMPACT,2021.0,310,12.194444444444445,331445.0,6.0,2.0,67068.33333333333,0.039336917562724,1069.1774193548388,2345823.862228706,0.1412915118380212
2025-01,K3,COMPACT,2022.0,775,31.208333333333332,771728.705978706,12.0,2.0,67312.5,0.040268817204301,995.7789754563948,2345823.862228706,0.3289798174554788
2025-01,K3,COMPACT,2024.0,310,39.96527777777778,1242650.15625,22.0,9.0,57046.13636363636,0.1289202508960573,4008.548891129032,2345823.862228706,0.5297286707064999
2025-01,K5,MIDSIZE,2020.0,775,8.694444444444445,311773.9294117647,4.0,2.0,98007.5,0.0112186379928315,402.2889411764706,2129266.864234126,0.1464231349525586
2025-01,K5,MIDSIZE,2021.0,310,8.458333333333334,254935.00000000003,3.0,1.0,84978.33333333333,0.0272849462365591,822.3709677419356,2129266.864234126,0.1197290035749921
2025-01,K5,MIDSIZE,2022.0,527,10.381944444444445,421906.2643678161,6.0,3.0,74072.5,0.0197000843348091,800.5811468080002,2129266.864234126,0.1981462593790803
2025-01,K5,MIDSIZE,2024.0,558,24.69097222222222,1140651.6704545454,16.0,6.0,78192.8125,0.0442490541616885,2044.178620886282,2129266.864234126,0.535701602093369
2025-01,K8,LUXURY,2021.0,186,7.0625,396820.0,3.0,2.0,132273.33333333334,0.0379704301075268,2133.440860215054,835095.0,0.4751794705991534
2025-01,K8,LUXURY,2023.0,93,8.9375,438275.0,3.0,1.0,146091.66666666666,0.0961021505376344,4712.634408602151,835095.0,0.5248205294008466
2025-01,QM6,SUV,2020.0,124,0.0,0.0,0.0,0.0,,0.0,0.0,216099.99999999997,0.0
2025-01,QM6,SUV,2021.0,93,4.8125,216099.99999999997,1.0,0.0,216100.0,0.0517473118279569,2323.6559139784945,216099.99999999997,1.0
2025-01,SM6,MIDSIZE,2020.0,62,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
2025-01,XM3,SUV,2022.0,62,2.25,119985.0,1.0,1.0,119985.0,0.0362903225806451,1935.241935483871,119985.0,1.0
2025-01,그랜져IG,LUXURY,2019.0,155,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
2025-01,니로 하이브리드,SUV,2022.0,248,3.3125,145000.0,1.0,0.0,145000.0,0.0133568548387096,584.6774193548387,145000.0,1.0
2025-01,더 뉴 K7,LUXURY,2021.0,124,11.854166666666666,741235.0,4.0,2.0,185308.75,0.0955981182795698,5977.701612903225,741235.0,1.0
2025-01,더 뉴 그랜저,LUXURY,2020.0,217,5.194444444444445,255480.5063291139,2.0,1.0,162627.5,0.0239375320020481,1177.3295222539812,255480.5063291139,1.0
2025-01,더 뉴 셀토스,SUV,2024.0,341,33.763888888888886,1280874.6268656717,12.0,6.0,107740.83333333331,0.0990143369175627,3756.2305773186854,1280874.6268656717,1.0
2025-01,더뉴그랜드스타렉스12인,RV,2019.0,62,1.375,49210.00000000001,1.0,1.0,49210.0,0.0221774193548387,793.709677419355,49210.00000000001,1.0
2025-01,더뉴그랜저 하이브리드,LUXURY,2024.0,155,20.84722222222222,1204666.369230769,9.0,2.0,136176.11111111112,0.1344982078853046,7772.041091811415,1204666.369230769,1.0
2025-01,디올뉴 그랜저,LUXURY,2023.0,155,4.125,181040.0,2.0,1.0,90520.0,0.0266129032258064,1168.0,181040.0,1.0
2025-01,랭글러,IMPORTED,2023.0,124,6.791666666666666,531200.0,3.0,0.0,177066.66666666666,0.054771505376344,4283.870967741936,531200.0,1.0
2025-01,레이,SUV,2022.0,248,6.770833333333333,304345.8095238095,2.0,2.0,155535.0,0.0273017473118279,1227.2008448540707,2073899.6998746905,0.1467504959580247
2025-01,레이,URBAN,2018.0,682,6.520833333333333,128403.65168539324,2.0,1.0,67347.5,0.0095613391984359,188.27514909881708,2073899.6998746905,0.0619141088130499
2025-01,레이,URBAN,2024.0,155,7.631944444444445,170170.0,3.0,1.0,56723.333333333336,0.0492383512544802,1097.8709677419354,2073899.6998746905,0.0820531484768921
2025-01,레이,URBAN,2025.0,310,47.425694444444446,1470980.2386654874,28.0,6.0,54841.25,0.1529861111111111,4745.097544082218,2073899.6998746905,0.7092822467520331
