car_id,car_model,car_type,reservations,revenue,avg_amount,active_months,first3_revenue,recent3_revenue,latest_revenue,first3_reservations,recent3_reservations,revenue_trend,reservation_trend,revenue_share,revenue_rank_pct,reservation_rank_pct,avg_amount_rank_pct,score,recommendation
1906,22년 k3(휘),COMPACT,339,27831045.0,82097.47787610619,7,5638230.0,2019985.0,3466555.0,78.66666666666667,16.0,-0.6417341967248587,-0.7966101694915254,0.011294924402536965,0.22627737226277372,0.051094890510948905,0.9124087591240876,0.62998716426912,주의
1973,24년 더 뉴 카니발리무진 7인(경유),RV,62,15932660.0,256978.38709677418,7,3194131.6666666665,1179295.0,112860.0,14.666666666666666,4.0,-0.6307932411469157,-0.7272727272727273,0.006466095334592165,0.45255474452554745,0.5547445255474452,0.13138686131386862,0.4814462233305639,주의
1976,24년 더 뉴 카니발 9인승(휘),RV,77,17890240.0,232340.77922077922,7,4017990.0,1522663.3333333333,1168580.0,16.666666666666668,6.666666666666667,-0.6210385458069002,-0.6,0.007260557709681505,0.41605839416058393,0.5109489051094891,0.2116788321167883,0.5017647585579961,주의
2224,25년 카니발 리무진 하이브리드 7인(휘),RV,133,36284395.0,272815.0,7,6682723.333333333,3295255.0,3468340.0,25.0,12.333333333333334,-0.5068993828364384,-0.5066666666666666,0.014725623795900953,0.15328467153284672,0.2846715328467153,0.08759124087591241,0.700404952227305,주의
1882,21년 올뉴아반떼CN7(휘),COMPACT,185,15107820.0,81663.8918918919,7,3123153.3333333335,1553713.3333333333,1989720.0,43.0,15.0,-0.502517754491721,-0.6511627906976745,0.006131343066246201,0.4744525547445255,0.1897810218978102,0.927007299270073,0.49609858951433156,주의
1946,24년 더 뉴 K5 하이브리드(휘),MIDSIZE,291,28617525.0,98342.01030927835,7,5275255.0,2995796.6666666665,3077410.0,55.333333333333336,28.333333333333332,-0.4321039140919886,-0.4879518072289157,0.011614108685560016,0.20437956204379562,0.0948905109489051,0.8394160583941606,0.6571545720944509,주의
2104,25년 투싼 4륜(휘),SUV,150,23753145.0,158354.3,7,4730393.333333333,2768575.0,4046715.0,32.333333333333336,14.666666666666666,-0.4147262595499458,-0.5463917525773196,0.009639953408055605,0.29927007299270075,0.2518248175182482,0.5620437956204379,0.6046952572566842,주의
2255,26년 투싼(휘),SUV,183,27481570.0,150172.5136612022,7,4987268.333333333,3050776.6666666665,2147640.0,32.333333333333336,21.666666666666668,-0.3882870415701849,-0.32989690721649484,0.011153093806324116,0.24087591240875914,0.19708029197080293,0.635036496350365,0.6400034126313027,주의
2217,25년 팰리세이드 4륜(휘),SUV,123,26882845.0,218559.71544715448,7,5145863.333333333,3148851.6666666665,5723125.0,27.0,12.333333333333334,-0.3880809763700163,-0.5432098765432098,0.010910107831025346,0.26277372262773724,0.29927007299270075,0.2773722627737226,0.6403889826549691,주의
1937,24년 쏘나타 디엣지(휘),MIDSIZE,457,46894245.0,102613.22757111597,7,8510556.666666666,5291038.333333333,6451715.0,89.0,42.666666666666664,-0.37829703266570497,-0.5205992509363296,0.019031515064886966,0.08029197080291971,0.021897810218978103,0.8248175182481752,0.7380827054925536,주의
2123,25년 카니발리무진 7인승(휘),RV,104,27907295.0,268339.375,7,4801275.0,3086906.6666666665,1676430.0,20.666666666666668,10.333333333333334,-0.357065223994321,-0.5,0.011325869628837072,0.21897810218978103,0.3795620437956204,0.10218978102189781,0.6606438425640716,주의
2155,25년 아반떼 하이브리드(휘),COMPACT,330,37146245.0,112564.37878787878,7,6655990.0,4542238.333333333,7433525.0,72.0,30.666666666666668,-0.3175713405018137,-0.574074074074074,0.01507539616687468,0.1386861313868613,0.06569343065693431,0.7883211678832117,0.7105786323731764,주의
2124,25년 카니발리무진 7인승(경유),RV,79,17831780.0,225718.7341772152,7,3050731.6666666665,2111850.0,2484470.0,14.333333333333334,8.666666666666666,-0.30775622678494063,-0.3953488372093024,0.007236832359786368,0.4233576642335766,0.5,0.23357664233576642,0.5303557641828198,주의
2286,26년 스타리아 11인승 하이브리드(휘),RV,141,41215930.0,292311.56028368796,6,6721951.666666667,4700908.333333333,1867440.0,22.666666666666668,17.333333333333332,-0.3006631754517724,-0.2352941176470589,0.016727033193696297,0.08759124087591241,0.27007299270072993,0.072992700729927,0.755700105812487,주의
1943,24년 디올뉴 싼타페 4륜(7인/휘),SUV,218,37174925.0,170527.17889908256,7,6707171.666666667,4769150.0,6559260.0,43.666666666666664,22.0,-0.2889476761565916,-0.4961832061068702,0.015087035630353855,0.13138686131386862,0.1678832116788321,0.48905109489051096,0.7211052323843409,주의
2117,25년 더뉴스포티지 하이브리드 4륜(휘),SUV,295,50913530.0,172588.2372881356,7,9080065.0,6569610.0,9617040.0,56.666666666666664,32.666666666666664,-0.27647984898786515,-0.4235294117647059,0.020662697804423005,0.06569343065693431,0.08759124087591241,0.48175182481751827,0.7727169786048631,주의
