car_id,car_model,car_type,reservations,revenue,avg_amount,active_months,first3_revenue,recent3_revenue,latest_revenue,first3_reservations,recent3_reservations,revenue_trend,reservation_trend,revenue_share,revenue_rank_pct,reservation_rank_pct,avg_amount_rank_pct,score,recommendation
1953,24년 더 올뉴머스탱컨버터블2.3 (휘),IMPORTED,250,58457040.0,233828.16,7,5996425.0,10226765.0,12417305.0,30.0,40.0,0.7054770133871432,0.3333333333333333,0.023724148611598286,0.021897810218978103,0.11678832116788321,0.19708029197080293,0.9117885772511232,확대 검토
2143,25년 투싼 하이브리드 4륜(휘),SUV,336,54189575.0,161278.49702380953,7,5267210.0,9382066.666666666,10966215.0,40.333333333333336,52.0,0.781221304384421,0.28925619834710736,0.02199224474074211,0.0364963503649635,0.058394160583941604,0.5474452554744526,0.8923557070807778,확대 검토
2263,26년 팰리세이드4륜(휘),SUV,341,67485515.0,197904.73607038124,7,8650940.0,10555373.333333334,10022825.0,46.0,52.333333333333336,0.22014178035373427,0.1376811594202899,0.027388256179071764,0.0072992700729927005,0.043795620437956206,0.35766423357664234,0.8720141780353734,확대 검토
2288,26년 스포티지 4륜(휘),SUV,248,38693775.0,156023.28629032258,6,3641863.3333333335,7126193.333333333,11130410.0,30.333333333333332,39.333333333333336,0.9567437547995118,0.2967032967032968,0.0157034442463003,0.10948905109489052,0.13138686131386862,0.5912408759124088,0.8544334995675424,확대 검토
2295,26년 아반떼(휘),COMPACT,325,37718990.0,116058.43076923076,6,3254853.3333333335,7533481.666666667,13393450.0,33.666666666666664,57.0,1.314537982254193,0.6930693069306932,0.015307838444084574,0.11678832116788321,0.072992700729927,0.7737226277372263,0.8518248175182481,확대 검토
2252,26년 BMW 420i 컨버터블(휘),IMPORTED,208,51032870.0,245350.33653846153,7,6288438.333333333,7837961.666666667,9632550.0,31.333333333333332,27.666666666666668,0.2464082894984792,-0.11702127659574461,0.020711130634674214,0.058394160583941604,0.17883211678832117,0.16058394160583941,0.83759703332941,확대 검토
2290,26년 더 K5 고급형 (휘),MIDSIZE,303,36023180.0,118888.38283828383,6,3363413.3333333335,6638575.0,9517180.0,38.333333333333336,44.333333333333336,0.9737612782252949,0.15652173913043477,0.014619612552779873,0.16058394160583941,0.08029197080291971,0.7518248175182481,0.829857879647347,확대 검토
2120,25년 GV80 4륜(7인/휘),SUV,165,39138050.0,237200.30303030304,7,4669766.666666667,6884861.666666667,10577430.0,21.0,26.0,0.47434811161157225,0.23809523809523808,0.01588374838288364,0.10218978102189781,0.22627737226277372,0.1897810218978102,0.8259019644458286,확대 검토
1942,24년 더 뉴 아반떼(휘),COMPACT,531,51284090.0,96580.20715630885,7,7222565.0,8565448.333333334,13897600.0,96.66666666666667,67.0,0.18592886783758042,-0.306896551724138,0.02081308551665602,0.051094890510948905,0.014598540145985401,0.8467153284671532,0.8072790181706193,확대 검토
1905,22년 EV6(전기),EV,393,56082510.0,142703.58778625954,7,8095490.0,7531533.333333333,9066655.0,70.0,44.0,-0.06966306754336883,-0.37142857142857144,0.022760471651514465,0.029197080291970802,0.029197080291970802,0.6642335766423357,0.80617237937705,확대 검토
