file_month,reservations,revenue,avg_amount,vehicles,revenue_mom,reservation_mom
2026-01,2483,348357650.0,140297.0801449859,124,,
2026-02,2292,337448460.0,147228.8219895288,125,-0.03131606267294551,-0.07692307692307687
2026-03,2997,394594835.0,131663.27494160828,126,0.16934845398316534,0.3075916230366491
2026-04,1908,331763035.0,173879.99737945493,129,-0.15923117696155353,-0.3633633633633634
2026-05,1931,308512500.0,159768.25479026412,120,-0.07008175277875672,0.012054507337526221
2026-06,1864,311136375.0,166918.65611587983,123,0.008504922815121052,-0.03469704816157426
2026-07,1711,432218245.0,252611.48158971363,125,0.3891601231132169,-0.0820815450643777
